X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
1.328110992908477783e-01,2.046900093555450439e-01,-2.937117815017700195e-01,-2.635933756828308105e-01,-2.311599016189575195e+00,-9.777948856353759766e-01,2.055116176605224609e+00,-2.320119857788085938e+00,-2.404279402598108462e+00,-4.370838085656787442e-01,2.205560517400562581e+00,-3.910418914831625958e+00
1.281663179397583008e-01,2.045567482709884644e-01,-2.956326007843017578e-01,-2.655518949031829834e-01,-2.320765018463134766e+00,-1.005585432052612305e+00,2.080733776092529297e+00,-2.334142208099365234e+00,-2.404240686844767882e+00,-4.732108614914430911e-01,2.245378617701546453e+00,-3.899607682973437406e+00
1.235549449920654297e-01,2.044481635093688965e-01,-2.974723875522613525e-01,-2.674676179885864258e-01,-2.329778194427490234e+00,-1.032997846603393555e+00,2.105978250503540039e+00,-2.347768783569335938e+00,-2.404198583023675617e+00,-5.091142747751038478e-01,2.284324700734782443e+00,-3.888637771176230995e+00
1.189775243401527405e-01,2.043630331754684448e-01,-2.992334663867950439e-01,-2.693403959274291992e-01,-2.338634967803955078e+00,-1.060034751892089844e+00,2.130847454071044922e+00,-2.361002922058105469e+00,-2.404153354697520673e+00,-5.447847791034148290e-01,2.322409957691653482e+00,-3.877512592030176730e+00
1.144347488880157471e-01,2.043005228042602539e-01,-3.009173870086669922e-01,-2.711704969406127930e-01,-2.347333669662475586e+00,-1.086694121360778809e+00,2.155338764190673828e+00,-2.373847007751464844e+00,-2.404105312279619433e+00,-5.802105803102104442e-01,2.359645678778883759e+00,-3.866235588837211967e+00
1.099272817373275757e-01,2.042595744132995605e-01,-3.025261759757995605e-01,-2.729579210281372070e-01,-2.355870723724365234e+00,-1.112976431846618652e+00,2.179449558258056641e+00,-2.386304616928100586e+00,-2.404054746976978407e+00,-6.153806235486304343e-01,2.396043054886727752e+00,-3.854810157160071249e+00
1.054559201002120972e-01,2.042391449213027954e-01,-3.040612936019897461e-01,-2.747027277946472168e-01,-2.364243507385253906e+00,-1.138879537582397461e+00,2.203176021575927734e+00,-2.398377418518066406e+00,-2.404001931286950722e+00,-6.502845933231019560e-01,2.431613177589027952e+00,-3.843239644822281420e+00
1.010214313864707947e-01,2.042384892702102661e-01,-3.055245280265808105e-01,-2.764051556587219238e-01,-2.372450351715087891e+00,-1.164402723312377930e+00,2.226516246795654297e+00,-2.410068988800048828e+00,-2.403947171978666031e+00,-6.849091393789082938e-01,2.466366396661541227e+00,-3.831527413494831169e+00
9.662457555532455444e-02,2.042566388845443726e-01,-3.069174885749816895e-01,-2.780656218528747559e-01,-2.380490303039550781e+00,-1.189544439315795898e+00,2.249469280242919922e+00,-2.421382904052734375e+00,-2.403890718893485268e+00,-7.192443390752290000e-01,2.500313421543931547e+00,-3.819676733112808975e+00
9.226562082767486572e-02,2.042929530143737793e-01,-3.082420229911804199e-01,-2.796839475631713867e-01,-2.388361454010009766e+00,-1.214308023452758789e+00,2.272033452987670898e+00,-2.432322978973388672e+00,-2.403832786092433782e+00,-7.532823347626508292e-01,2.533465088069242199e+00,-3.807690804236130599e+00
8.794515579938888550e-02,2.043463438749313354e-01,-3.094996511936187744e-01,-2.812601923942565918e-01,-2.396059989929199219e+00,-1.238692283630371094e+00,2.294205904006958008e+00,-2.442891359329223633e+00,-2.403773589609058181e+00,-7.870146441983488783e-01,2.565831900706850632e+00,-3.795572801928964513e+00
8.366364985704421997e-02,2.044161558151245117e-01,-3.106921315193176270e-01,-2.827946245670318604e-01,-2.403585910797119141e+00,-1.262698650360107422e+00,2.315986156463623047e+00,-2.453092813491821289e+00,-2.403713330329555475e+00,-8.204334160856889824e-01,2.597424246396759617e+00,-3.783325855262126503e+00
7.942144572734832764e-02,2.045019268989562988e-01,-3.118210434913635254e-01,-2.842874228954315186e-01,-2.410939693450927734e+00,-1.286329746246337891e+00,2.337374687194824219e+00,-2.462931632995605469e+00,-2.403652204589659114e+00,-8.535305071176541025e-01,2.628252370451497733e+00,-3.770953068980506195e+00
7.521946728229522705e-02,2.046023011207580566e-01,-3.128876388072967529e-01,-2.857389748096466064e-01,-2.418116807937622070e+00,-1.309579849243164062e+00,2.358367919921875000e+00,-2.472409009933471680e+00,-2.403590438108596405e+00,-8.862943020875665434e-01,2.658326293665679074e+00,-3.758457598032861835e+00
7.105772942304611206e-02,2.047170102596282959e-01,-3.138938546180725098e-01,-2.871490120887756348e-01,-2.425117969512939453e+00,-1.332456231117248535e+00,2.378966331481933594e+00,-2.481530904769897461e+00,-2.403528168099129836e+00,-9.187206066710446040e-01,2.687656096599772226e+00,-3.745842391962062479e+00
6.693668663501739502e-02,2.048452496528625488e-01,-3.148407936096191406e-01,-2.885180711746215820e-01,-2.431941509246826172e+00,-1.354956984519958496e+00,2.399169445037841797e+00,-2.490299701690673828e+00,-2.403465549704551840e+00,-9.508030043783408658e-01,2.716251667795815283e+00,-3.733110421293420078e+00
6.285645812749862671e-02,2.049864232540130615e-01,-3.157305717468261719e-01,-2.898460626602172852e-01,-2.438587665557861328e+00,-1.377087831497192383e+00,2.418977975845336914e+00,-2.498721122741699219e+00,-2.403402726182932270e+00,-9.825355999146477837e-01,2.744122775418639915e+00,-3.720264613119437236e+00
5.881740152835845947e-02,2.051401287317276001e-01,-3.165640532970428467e-01,-2.911331951618194580e-01,-2.445055484771728516e+00,-1.398847937583923340e+00,2.438390970230102539e+00,-2.506798267364501953e+00,-2.403339829426472729e+00,-1.013913019423109851e+00,2.771279067255903339e+00,-3.707307851099804097e+00
